Iteration,Discriminator Loss,Generator Loss
9300,1.243761,0.599273
9310,1.250473,0.476099
9320,1.213218,0.601295
9330,1.122889,0.399872
9340,1.258876,0.575069
9350,1.348699,0.475571
9360,1.250667,0.515092
9370,1.323600,0.677348
9380,1.266673,0.634438
9390,1.161419,0.407949
9400,1.122848,0.406244
9410,1.277588,0.617353
9420,1.193423,0.421223
9430,1.318717,0.480932
9440,1.299877,0.447908
9450,1.234695,0.560901
9460,1.350262,0.498119
9470,1.281421,0.507721
9480,1.262997,0.552687
9490,1.219281,0.535418
9500,1.249119,0.610325
9510,1.268888,0.418600
9520,1.172765,0.401560
9530,1.045331,0.390568
9540,1.256321,0.464776
9550,1.222702,0.435264
9560,1.268566,0.634067
9570,1.273336,0.684298
9580,1.135619,0.421539
9590,1.293848,0.475555
9600,1.176708,0.435963
9610,1.185771,0.634863
9620,1.257742,0.437447
9630,1.381354,0.508301
9640,1.238446,0.404611
9650,1.163421,0.381278
9660,1.221694,0.407088
9670,1.276084,0.647517
9680,1.205251,0.448709
9690,1.286086,0.440775
9700,1.295233,0.721342
9710,1.351284,0.523639
9720,1.252591,0.503865
9730,1.302162,0.667866
9740,1.272606,0.619873
9750,1.273201,0.593199
9760,1.167774,0.429244
9770,1.361954,0.579581
9780,1.194866,0.623153
9790,1.257001,0.436250
9800,1.189572,0.469385
9810,1.118086,0.486881
9820,1.271163,0.659173
9830,1.347854,0.453081
9840,1.277244,0.629828
9850,1.221966,0.490602
9860,1.189935,0.585554
9870,1.248172,0.683385
9880,1.323381,0.451947
9890,1.353334,0.708205
9900,1.204910,0.424998
9910,1.210672,0.418285
9920,1.228554,0.582056
9930,1.096034,0.378546
9940,1.259611,0.517156
9950,1.264213,0.639156
9960,1.432853,0.528587
9970,1.277117,0.622883
9980,1.107841,0.333295
9990,1.370460,0.392591
10000,1.232425,0.404151
